tab,group,file_path,title,url
Welcome,Getting Started,s/article/000005900,Access and Start Creating Content through Domo's Navigation and Main Menu,https://staging3.www.domo.com/docs/s/article/000005900
Welcome,Getting Started,s/article/000005874,> Introduction to Domo: A Comprehensive Overview,https://staging3.www.domo.com/docs/s/article/000005874
Welcome,Getting Started,s/article/000005879,Build Your First Dashboard | Tutorial,https://staging3.www.domo.com/docs/s/article/000005879
Welcome,Getting Started,s/article/360043442453,Domo Platform Tour,https://staging3.www.domo.com/docs/s/article/360043442453
Welcome,Getting Started,s/article/000005878,First 5 Things to Do in Domo,https://staging3.www.domo.com/docs/s/article/000005878
Welcome,Getting Started,s/article/000005875,Sign into Domo,https://staging3.www.domo.com/docs/s/article/000005875
Welcome,Getting Started,s/article/360043427193,System Requirements,https://staging3.www.domo.com/docs/s/article/360043427193
Welcome,Domo Free,s/article/000005309,Domo Free | Overview,https://staging3.www.domo.com/docs/s/article/000005309
Welcome,Domo Free,s/article/000005699,Freemium Overview,https://staging3.www.domo.com/docs/s/article/000005699
Welcome,Domo Free,s/article/000005332,Update Payment Details for Domo Free,https://staging3.www.domo.com/docs/s/article/000005332
Knowledge Base,Connect & Integrate > Connect Data to Domo > Cloud Data Warehouses,s/article/4412849158167,- Cloud Amplifier Overview -,https://staging3.www.domo.com/docs/s/article/4412849158167
Knowledge Base,"Connect & Integrate > Connect Data to Domo > Cloud Data Warehouses > Amazon (Redshift, Athena)",s/article/000005312,> Domo on Amazon Redshift (RECOMMENDED),https://staging3.www.domo.com/docs/s/article/000005312
Knowledge Base,"Connect & Integrate > Connect Data to Domo > Cloud Data Warehouses > Amazon (Redshift, Athena)",s/article/360043436053,Amazon Redshift,https://staging3.www.domo.com/docs/s/article/360043436053
Knowledge Base,"Connect & Integrate > Connect Data to Domo > Cloud Data Warehouses > Amazon (Redshift, Athena)",s/article/360043436033,Amazon Redshift Advanced Connector,https://staging3.www.domo.com/docs/s/article/360043436033
Knowledge Base,"Connect & Integrate > Connect Data to Domo > Cloud Data Warehouses > Amazon (Redshift, Athena)",s/article/4409682973463,Amazon Redshift Connector,https://staging3.www.domo.com/docs/s/article/4409682973463
Knowledge Base,"Connect & Integrate > Connect Data to Domo > Cloud Data Warehouses > Amazon (Redshift, Athena)",s/article/9030981562519,Amazon Redshift Domo Managed Unload,https://staging3.www.domo.com/docs/s/article/9030981562519
Knowledge Base,"Connect & Integrate > Connect Data to Domo > Cloud Data Warehouses > Amazon (Redshift, Athena)",s/article/360052884873,Amazon Redshift Partition Connector,https://staging3.www.domo.com/docs/s/article/360052884873
Knowledge Base,"Connect & Integrate > Connect Data to Domo > Cloud Data Warehouses > Amazon (Redshift, Athena)",s/article/360042931614,Amazon Redshift SSH Connector,https://staging3.www.domo.com/docs/s/article/360042931614
Knowledge Base,"Connect & Integrate > Connect Data to Domo > Cloud Data Warehouses > Amazon (Redshift, Athena)",s/article/1500001388361,Amazon Redshift SSH Writeback Connector,https://staging3.www.domo.com/docs/s/article/1500001388361
Knowledge Base,"Connect & Integrate > Connect Data to Domo > Cloud Data Warehouses > Amazon (Redshift, Athena)",s/article/360043436073,Amazon Redshift Unload Connector,https://staging3.www.domo.com/docs/s/article/360043436073
Knowledge Base,"Connect & Integrate > Connect Data to Domo > Cloud Data Warehouses > Amazon (Redshift, Athena)",s/article/360042931634,Amazon Redshift Unload V2 Connector,https://staging3.www.domo.com/docs/s/article/360042931634
Knowledge Base,"Connect & Integrate > Connect Data to Domo > Cloud Data Warehouses > Amazon (Redshift, Athena)",s/article/360042931654,Amazon Redshift Upsert Connector,https://staging3.www.domo.com/docs/s/article/360042931654
Knowledge Base,"Connect & Integrate > Connect Data to Domo > Cloud Data Warehouses > Amazon (Redshift, Athena)",s/article/360043436893,Amazon Redshift Writeback Connector,https://staging3.www.domo.com/docs/s/article/360043436893
Knowledge Base,"Connect & Integrate > Connect Data to Domo > Cloud Data Warehouses > Amazon (Redshift, Athena)",s/article/000005744,Domo on Amazon Athena,https://staging3.www.domo.com/docs/s/article/000005744
